start_request_time,end_request_time,start_response_time,end_response_time,duration,src_ip,dst_ip,src_port,dst_port,SYN,ACK,FIN,RST,URG,PSH,label
2025-01-15 14:07:20.273073,2025-01-15 14:07:20.273073,2025-01-15 14:07:20.273140,2025-01-15 14:07:20.273140,6.7e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['56760', '135']","['56760', '135']",1,1,0,1,0,0,1
2025-01-15 14:07:21.274344,2025-01-15 14:07:21.274344,2025-01-15 14:07:21.274395,2025-01-15 14:07:21.274395,5.1e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['1723', '56760']","['1723', '56760']",1,1,0,1,0,0,1
2025-01-15 14:07:22.275973,2025-01-15 14:07:22.275973,2025-01-15 14:07:22.276035,2025-01-15 14:07:22.276035,6.2e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['443', '56760']","['443', '56760']",1,1,0,1,0,0,1
2025-01-15 14:07:23.277551,2025-01-15 14:07:23.277551,2025-01-15 14:07:23.277588,2025-01-15 14:07:23.277588,3.7e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['56760', '23']","['56760', '23']",1,1,0,1,0,0,1
2025-01-15 14:07:24.278556,2025-01-15 14:07:24.278556,2025-01-15 14:07:24.278598,2025-01-15 14:07:24.278598,4.2e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['56760', '587']","['587', '56760']",1,1,0,1,0,0,1
2025-01-15 14:07:25.279630,2025-01-15 14:07:25.279630,2025-01-15 14:07:25.279675,2025-01-15 14:07:25.279675,4.5e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['56760', '143']","['56760', '143']",1,1,0,1,0,0,1
2025-01-15 14:07:26.279923,2025-01-15 14:07:26.279988,2025-01-15 14:07:26.279970,2025-01-15 14:07:26.279970,4.7e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['3306', '56760']","['3306', '56760']",2,1,0,1,0,0,1
2025-01-15 14:07:27.281465,2025-01-15 14:07:27.281465,2025-01-15 14:07:27.281521,2025-01-15 14:07:27.281521,5.6e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['21', '56760']","['21', '56760']",1,1,0,1,0,0,1
2025-01-15 14:07:28.281845,2025-01-15 14:07:28.281845,2025-01-15 14:07:28.281871,2025-01-15 14:07:28.281871,2.6e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['554', '56760']","['554', '56760']",1,1,0,1,0,0,1
2025-01-15 14:07:29.282934,2025-01-15 14:07:29.282934,2025-01-15 14:07:29.282985,2025-01-15 14:07:29.282985,5.1e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['56760', '199']","['56760', '199']",1,1,0,1,0,0,1
2025-01-15 14:07:30.283992,2025-01-15 14:07:30.283992,2025-01-15 14:07:30.284035,2025-01-15 14:07:30.284035,4.3e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['993', '56760']","['993', '56760']",1,1,0,1,0,0,1
2025-01-15 14:07:31.285132,2025-01-15 14:07:31.285132,2025-01-15 14:07:31.285171,2025-01-15 14:07:31.285171,3.9e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['1025', '56760']","['1025', '56760']",1,1,0,1,0,0,1
2025-01-15 14:07:32.285179,2025-01-15 14:07:32.285179,2025-01-15 14:07:32.285216,2025-01-15 14:07:32.285216,3.7e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['56760', '110']","['56760', '110']",1,1,0,1,0,0,1
2025-01-15 14:07:33.286425,2025-01-15 14:07:33.286425,2025-01-15 14:07:33.286462,2025-01-15 14:07:33.286462,3.7e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['3389', '56760']","['3389', '56760']",1,1,0,1,0,0,1
2025-01-15 14:07:34.287498,2025-01-15 14:07:34.287498,2025-01-15 14:07:34.287540,2025-01-15 14:07:34.287540,4.2e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['80', '56760']","['80', '56760']",1,1,0,1,0,0,1
